"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
93123.3,41116.9,248.24,132.82,5748.75,65067.6,11162.6,12151.6,828.75,2881.32,253.3
106941,77113.9,845.64,290,5301.75,21696.5,6365.58,31274.1,1286.25,5245.5,253.7
168439,60090.4,646.12,392.08,6495,46699.4,9430.2,33865.3,1125.75,3807.96,254.1
150975,73061,649.02,245.92,6695.25,43818.1,8911.5,19712.2,1217.25,2970.24,254.9
173927,47489.5,660.04,379.9,5011.5,30669.6,7292.22,23593.4,981,4547.4,256.4
213264,42095.8,256.36,531.28,3894,26813.3,7296.9,51299.8,844.5,2988.96,265.9
106350,23098.9,119.48,213.44,1959.75,9703.98,2606.76,12679.7,362.25,1602.12,272.4
161704,49185.2,313.78,503.44,5001.75,42666.8,8870.94,36750.5,852.75,2772.12,273.6
112247,72961.2,1634.44,608.42,4956.75,23721.4,6310.2,23698.7,1176,16604.6,276.6
194383,101157,1958.08,494.16,16184.3,185399,29624.4,27745.4,1956.75,21898.5,276.9
103861,25926.4,255.78,256.94,2729.25,13519,3575.52,14330.9,581.25,2475.72,285.6
132412,29631.4,1499.88,265.64,10413.8,153208,22494.4,13004.2,741,17175.6,289.9
128763,37493,422.24,165.3,3375,23230,5167.5,16458,657.75,2101.32,290.3
143563,30266.3,1266.14,389.18,8500.5,113499,18132.7,21599,819.75,13797.4,291.8
192801,40014.8,290.58,346.84,3393.75,18328.4,4454.58,26376.5,773.25,2361.84,292
124782,30286.6,1468.56,502.28,7342.5,83086.4,14658.5,39985.1,971.25,14993.2,292.5
190066,50236.7,1381.56,546.94,6387,71753.8,12213.2,33065.8,811.5,17700.5,293.6
125870,48232.1,789.38,161.24,3723,16875.3,4743.18,13728,1006.5,2796.3,294.4
105552,34864.4,937.86,340.46,4089,26365.6,6505.2,21851.7,913.5,2793.18,294.8
94712.4,19143.5,836.36,225.04,4070.25,43045.1,7361.64,11205.5,639,8066.76,296.9
141149,62198.8,272.6,294.64,3587.25,20763.6,5087.16,27425.6,718.5,2414.1,297.9
122230,31062.7,286.52,135.14,4074.75,44162,7336.68,7523.1,647.25,1552.2,302.6
109130,44663.6,407.16,264.48,2969.25,11036.2,3662.88,17851.1,795,2079.48,303.4
52421.2,24649.6,216.92,115.42,2154,15111.7,2995.2,7645.56,742.5,1881.36,306.8
163048,28420.9,291.74,181.54,3363,28588.6,5555.94,11126.7,641.25,2522.52,309.6
187164,53482.3,871.16,360.76,4714.5,30659.5,7270.38,31398.9,976.5,3767.4,313.4
160643,39981.2,465.16,311.46,3110.25,20322.9,5081.7,27046.5,597.75,2102.1,315
180184,36199,765.02,454.14,3690,11370.1,5062.98,34928.4,903,3243.24,325.8
165717,55771.6,385.12,285.94,4452,31219.5,6801.6,17547.7,802.5,2570.1,328.8
138599,27159.6,346.26,188.5,2213.25,15964.3,3307.98,14763.8,468.75,1666.86,334.9
146869,42682.4,608.42,172.26,9701.25,144366,20713.7,13855.1,636,6856.98,335.8
165664,42640.3,653.66,521.42,4238.25,24751,6364.8,35955.7,886.5,2980.38,336.3
262143,78662.2,3256.12,846.8,10962,103913,19107.7,44086.4,1749.75,37853.4,337.4
93075.7,24393.7,250.56,178.06,2366.25,15351.2,3517.02,13441.7,448.5,1579.5,339.6
140913,26339,269.12,151.38,4643.25,52386.4,8682.18,12727.3,681,1573.26,341.4
195052,54118,1136.8,339.88,9299.25,92671.8,16211.5,16774.7,1428,5971.68,342
125984,58277.7,2209.8,555.64,9676.5,116913,19326.1,27621.4,1044,19851.8,343
138615,62449.9,1050.96,390.34,6920.25,67059.7,11981.6,28909.9,966.75,8360.04,343.5
262143,89128.3,910.6,970.92,20377.5,235995,40095.9,91286.5,2215.5,8360.82,343.9
137631,46385.8,867.68,287.68,8257.5,99030.4,15854.3,15159.3,994.5,6091.8,344.6
184288,45282.1,1347.34,576.52,5172.75,53031.4,9827.22,38725.4,713.25,12763.1,346.4
107710,31070.5,528.96,227.36,4554.75,46537.1,8297.64,10151.7,635.25,4375.02,355.1
113242,21996.8,288.84,73.66,3249,34271.6,6218.94,5983.38,480.75,1960.14,368.2
73644.7,10798.3,854.34,116.58,1612.5,14715.5,2513.94,6359.34,261.75,9430.98,370.2
153711,30432.5,330.6,356.12,3485.25,21599.8,5167.5,22132.5,759.75,2859.48,378.2
181803,64615.2,717.46,546.94,8379.75,73375.4,14628.9,43271.3,1361.25,5457.66,381.5
149446,62533.4,1735.94,488.94,9897.75,119975,19415,31973.8,1155.75,16377.7,387.4
198078,104777,1013.26,683.24,10277.3,90812.3,17514.9,47176,1776,5575.44,388.3
112084,30303.8,301.6,70.18,2646,13354.4,3226.08,5927.22,570.75,1943.76,388.5
185654,48801.5,3198.12,613.06,7204.5,87910.7,14777.1,32815.4,894.75,32212.4,389.6
248018,81450.7,1609.5,646.12,9051,34621.9,10736.7,41357.9,1878,9328.8,393.9
110035,30933.2,276.08,436.16,1924.5,7756.32,2686.32,16006.4,510,1793.22,394.3
262143,103437,1208.14,757.48,9253.5,57581.9,14335.6,71660.2,1905.75,6531.72,394.7
262143,114087,800.98,701.22,10507.5,78984.4,16141.3,61487.4,1942.5,6364.02,403.8
205909,61432.8,920.46,457.04,9920.25,96157.6,18157.6,28914.6,1625.25,5421,404.6
120557,34984.6,241.28,177.48,4454.25,43265.8,7350.72,16011.1,722.25,1947.66,405.2
152920,53189.8,374.68,414.7,5939.25,46572.2,9190.74,26768,1062,3626.22,418.6
206628,49407.5,411.22,250.56,8048.25,79890.7,14160.1,19342.4,1434.75,4541.94,418.9
119453,62552.1,2123.96,909.44,10281,120582,19337,21970.3,1254.75,21865,419.4
159504,27419.3,467.48,214.02,2954.25,11779.6,3689.4,12739,827.25,2285.4,419.6
126413,57310.5,191.4,207.64,5786.25,74132.8,11941,22552.9,655.5,2294.76,420.2
202094,46963,412.96,345.1,5488.5,44078.6,9025.38,29092.4,1035,3149.64,420.4
262143,98595.9,3812.34,1011.52,15884.3,168992,29111.2,33380.1,2046.75,37037.5,421.4
96092.2,71759.2,508.66,419.92,7773.75,79542.8,13621.9,27814,1088.25,3738.54,421.7
262143,179043,2093.8,1481.32,13245,72189.8,19684.9,120949,2786.25,10256.2,421.9
215086,39923.5,681.5,357.28,4257.75,29462.2,6833.58,28864.7,872.25,2857.14,422.7
138696,25566.1,132.24,161.24,1991.25,9750.78,2838.42,10828,477.75,1527.24,423.2
89820.5,47578.4,401.36,304.5,4116.75,42208.9,8080.02,33107.1,644.25,1994.46,423.2
262143,86706.4,1008.62,513.88,7129.5,28373.3,8782.02,40678.6,1731,5501.34,423.7
131199,26530.1,307.98,185.6,4494,47585.5,8122.14,16784,655.5,1919.58,441.4
94477.8,27390.5,1555.56,413.54,3897.75,37699,6588.66,20869.7,605.25,16800.4,442.4
102819,37401,281.3,307.4,2961.75,23843,5034.9,21503,506.25,1809.6,452.2
152720,30707,237.22,250.56,2202.75,12256.1,3478.8,18787.1,533.25,1955.46,452.7
180301,34869.1,89.32,128.76,2673,21377.5,4436.64,14209.3,450,1673.88,453.8
262143,131983,1235.98,1075.9,10842,60039.7,15388.6,81189.4,2330.25,7914.66,460.8
114169,33944,1259.76,510.98,3277.5,8860.02,5355.48,29879.5,876.75,7566.78,461.4
170352,72997.9,1055.6,609,5665.5,24241.6,7308.6,31944.9,1469.25,5773.56,461.8
230942,77057,758.06,515.62,6693,40276.1,10012.9,45761,1496.25,5425.68,464
119906,47516,678.6,425.72,3918,16663.1,5389.02,27083.2,931.5,3995.94,464.6
105546,28166.6,275.5,180.38,3804,37128,6574.62,14170.3,582.75,2588.04,466.2
207563,38066.3,374.1,383.96,4404,35101.6,7079.28,25466.2,829.5,2123.94,466.5
182636,97966.4,1325.3,315.52,5634.75,17585.1,6929.52,15728.7,1929.75,4999.02,475.1
171664,47551.1,429.78,251.72,4490.25,36486.1,7537.92,29307.7,799.5,3400.02,476.9
224718,53089.1,404.26,222.72,4311,14201.5,4418.7,15168.7,969,2832.18,477.1
121348,41797.1,626.4,214.02,3573,18957.1,5116.8,22545.1,766.5,2904.72,477.9
209255,60077.2,928.58,367.14,8410.5,73777.1,13613.3,18378.4,1308,8307,478.2
151232,96752,1607.76,627.56,7887,51639.9,11488.6,38073.4,1517.25,13843.4,478.5
262143,119179,4870.26,1777.12,11848.5,74628.8,17669.3,91568.1,2333.25,47614.3,480.4
128244,56809,194.88,269.12,4148.25,27653.3,6197.1,19865.8,940.5,2850.9,493
118077,37571.8,390.34,290.58,2716.5,12115,3663.66,20127.1,584.25,2177.76,493.3
43794.7,62680.8,75.98,4.64,1194.75,407.16,298.74,76.44,925.5,335.4,502.2
135262,35639.8,745.3,287.68,10301.3,134170,20603.7,16580.5,972.75,7952.1,508.9
170084,104213,780.68,791.12,9517.5,65072.3,14893.3,61570.9,1849.5,7052.76,511.8
104044,54566.5,586.38,359.6,5758.5,40258.9,8878.74,33276.4,1119,4022.46,511.8
262143,141444,817.22,834.62,10699.5,66681.4,15726.4,60158.3,2299.5,6465.42,513.3
