"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
103117,53230,126956,61370.4,38462,104570,316.1,161.82,6582,77883.8,12987,16780.9,936,3516.24,78
102179,56649,118208,44904.6,29849,98591.8,955.26,270.86,4353,27049.6,6373.38,10270.3,1075.5,7751.64,78.2
135336,71972,123233,58126.4,34928,109064,612.48,460.52,5138.25,44288.4,9026.16,27343.7,939,3827.46,78.8
92059.1,49925,120845,43417.9,28977,98196.4,404.26,179.8,2774.25,18262.9,4077.84,10726.6,635.25,1668.42,79
86421.2,52413,108059,34316.1,21805,103139,1811.34,611.32,4267.5,27286,6423.3,27289.9,910.5,18148.3,79.2
86441.6,51768,109431,53491.6,40952,85603.3,978.46,167.62,3423.75,20653.6,4825.86,8643.96,863.25,4114.5,79.7
66044.3,38835,111453,27718.1,20743,87573.3,227.36,86.42,3153.75,28779.7,5616,9320.22,603.75,1893.84,80.5
157867,89895,115090,30621.2,21555,93101.1,1083.44,161.24,4978.5,42517,9090.12,12957.4,1048.5,3112.2,80.5
83959.6,49340,111520,25112.1,19004,86600,1408.82,501.7,3381.75,16468.1,4840.68,23036.5,872.25,11783.5,80.6
109003,59833,119392,28940.3,19853,95533.9,526.64,280.72,3774,33084.5,6513,16449.4,660.75,2347.8,80.7
72073.2,35589,132720,43060.7,28081,100496,555.06,179.22,5097.75,44017.7,8273.46,7932.6,915,2317.38,81.1
85160.5,47267,118076,56524.3,42471,87221.3,799.82,171.1,3492.75,26906.9,5421.78,13505.7,794.25,5871.84,81.9
49577.4,28303,114797,25506,17631,94808.1,211.12,33.06,2798.25,17979.8,4183.14,3290.82,667.5,1876.68,82.1
58605.8,38154,100665,25732.2,18986,88822.6,1127.52,407.74,3164.25,23254.1,4716.66,10750.7,644.25,12941.8,82.3
62366.9,33282,122807,43512.3,28834,98897.9,1450,276.08,4557,38941.5,7904.52,18970.4,884.25,11455.1,82.8
85382.2,53864,103884,13792.7,10764,83976.3,592.18,223.3,2110.5,17111.6,3852.42,10877.9,427.5,4347.72,82.9
104162,63073,108229,35873.8,24501,95956.2,759.22,201.26,4441.5,44272,8270.34,13334.9,815.25,8087.82,83.2
110915,71125,102200,42152,33157,83314.9,646.7,120.64,3608.25,10545.6,4097.34,7221.24,1161.75,3779.1,83.8
146879,89010,108144,36100.7,25090,94296.5,465.74,266.22,2984.25,17683.4,4558.32,18941.5,726.75,2254.98,84
76527.2,36839,136141,42442.9,22755,122239,628.72,249.98,5481.75,65722.8,11421.5,15023.6,859.5,2499.12,84.4
115648,67106,112943,23135.6,17106,88636.4,227.36,147.32,3089.25,30580.7,5519.28,10608.8,576,1864.2,84.6
47992.4,32698,96190.2,20789.3,15706,86747.1,598.56,57.42,2217.75,9040.98,2701.92,3480.36,625.5,3024.06,84.7
93551,44972,136328,43963.1,26347,109355,518.52,243.6,4397.25,35700.6,7129.98,15596.9,893.25,2938.26,85.9
67587.2,36979,119781,42642.6,26871,104002,3551.92,455.88,6513,75476.7,13421.5,19865.8,892.5,19602.2,88.4
89693.4,50462,116487,52667.9,34302,100625,762.12,261,4510.5,35820.7,7753.98,20372.8,930,3336.06,89.3
85139.4,43976,126880,46609.7,29228,104510,2434.26,747.62,4630.5,34469.8,7807.02,38939.9,883.5,24818.8,89.9
88254.5,48450,119378,61408.6,42386,94948.2,427.46,103.24,3226.5,22887.5,4606.68,7791.42,878.25,2910.96,90.5
76969.9,44634,113015,39872.8,24510,106614,796.92,273.18,3705.75,17894.8,5122.26,17843.3,915,6771.96,90.8
87644.5,60611,94766.2,11637.6,9251,82443.2,1134.48,245.34,1590,4220.58,2073.24,11167.3,415.5,11449.6,92.2
77182,50298,100565,22919.5,14702,102167,452.4,207.06,3147,22226.9,4648.02,11294.4,641.25,4910.1,94.8
87182.8,47251,120920,37665.4,25155,98129.2,432.1,244.18,3434.25,26797.7,5658.12,17787.9,675.75,2586.48,96.4
105869,54182,128054,42808,27510,101980,884.5,312.04,4761,48405.2,8747.7,26779.7,720,4756.44,97.3
76517.7,42838,117061,21200.4,15750,88215.2,457.62,62.64,2307,3694.86,2292.42,2911.74,746.25,2737.02,98.8
70711.8,39667,116827,33753.7,22551,98092.5,307.4,175.16,2715,19036.7,3881.28,15233.4,495,1712.1,99
107979,58532,120900,42421.1,27712,100321,559.7,397.88,3843,30010.5,6938.1,32236.6,801,5837.52,101.4
106018,55855,124394,37270,26239,93087.5,1180.3,320.74,4485.75,33476.8,7433.4,13829.4,967.5,6730.62,101.7
68967,43259,104483,45525.5,35855,83211.8,1042.26,245.34,3256.5,15588.3,4694.82,19226.2,1004.25,5764.2,102.2
123943,63023,128885,45358.6,30091,98787.6,632.78,265.06,4932,49008.2,9344.4,24158.9,765,2728.44,102.3
126785,73132,113616,33005.7,23532,91920,1222.64,371.2,5672.25,72878.5,12196.1,22733.1,723.75,13380.1,102.9
45209.1,28351,104505,22070.9,15531,93132.3,1119.4,369.46,1633.5,3300.96,1546.74,11226.5,438,13560.3,103.4
93843.4,52881,116301,24851.6,17893,91022.9,722.68,244.18,3116.25,38269.9,6590.22,17359.7,416.25,6466.98,103.4
