"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","APC-Cy7-A","AmCyan-A","FITC-A","PE-A","PE-Cy7-A","Pacific Blue-A","PerCP-Cy5-5-A","Time"
99358.9,54918,118569,32085.3,21058,99854.8,624.66,209.38,2129.25,12284.2,3506.1,21034.3,532.5,6452.94,73.8
77679.1,46843,108677,18039.1,13551,87241.4,311.46,92.22,1385.25,7645.56,2006.16,7360.86,390,1149.72,74.7
106324,58631,118846,25559,17127,97801,598.56,194.88,2300.25,14738.1,3361.8,9654.84,621.75,7089.42,74.7
116213,61715,123408,35505.6,22195,104839,1121.72,233.74,4974.75,53491.6,9150.96,11481.6,902.25,14191.3,75
107977,56461,125332,34511.9,21197,106702,523.74,134.56,4570.5,49737.5,8238.36,10403.6,809.25,2627.82,75.1
100008,63716,102864,16644.4,13460,81040.8,182.7,117.16,1551,14049.4,2792.4,7347.6,342.75,815.88,75.3
119179,67839,115133,31565,21359,96851.3,1095.04,208.22,3169.5,26485.7,5170.62,11457.4,678.75,9700.08,76
108814,62003,115015,33096.2,21703,99939.7,755.16,61.48,3329.25,23099.7,5332.86,5616,743.25,2701.14,76.5
113006,60114,123199,29994.1,21650,90794.2,1016.74,321.32,3153.75,28643.9,5587.14,12093.9,642,7737.6,76.6
165677,94731,114617,37189.6,27643,88169.1,763.28,461.1,4521.75,51430.9,9670.44,34468.2,672,7359.3,77.3
99911.7,52008,125900,39647.4,24840,104603,1241.2,391.5,5269.5,62481.1,10351.4,17580.4,715.5,11896.6,77.7
98979.4,64851,100025,20134.9,15639,84376.4,249.98,143.84,2558.25,32756.1,5360.94,7293,357.75,1365,77.9
57432.8,32643,115305,19463.3,14439,88340.6,586.38,122.38,2227.5,25396.8,4400.76,3221.4,479.25,4481.1,78.3
129714,75863,112057,23763.5,18083,86123.1,1560.2,219.24,3388.5,44106.7,7410,15709.2,496.5,14820.8,78.3
89687.9,56401,104214,27271.9,18277,97789.2,908.86,269.7,1650.75,10861.5,2566.2,9679.8,358.5,9334.26,78.7
112413,69987,105264,26066.8,20023,85317.6,1010.36,288.84,3663.75,49348.3,7768.02,13070.5,447,7692.36,79
121631,71635,111275,26491.1,20339,85359.3,506.92,134.56,2967.75,24324.3,4999.8,6410.04,717,4183.14,79.1
41141.4,25287,106626,21914.9,15911,90265.5,683.82,146.74,2170.5,13694.5,3312.66,12094.7,504.75,7151.04,79.3
118492,62604,124042,30291.3,22732,87329.3,982.52,187.34,3255.75,27963.8,5889.78,13519,611.25,8358.48,80.1
134679,79701,110743,30507.4,22053,90660.3,389.76,156.6,2412,9729.72,3265.08,7887.36,715.5,1916.46,80.3
132729,70390,123576,35648.3,24610,94930.9,641.48,210.54,4272.75,51235.1,8784.36,11317,583.5,5881.2,80.8
204749,115916,115760,28129.1,17464,105558,706.44,118.32,5340,80350.1,12550.2,7488.78,485.25,6842.16,81.5
54982.1,34566,104244,27147.9,18290,97275.3,638.58,103.24,2922,28361.6,5118.36,11548.7,474.75,4216.68,81.5
91580.4,50702,118374,58643.5,32554,118058,1453.48,383.96,5860.5,58489.1,10625.2,28544.9,872.25,14668.7,81.9
55781.1,27946,130812,33002.6,22330,96858.8,689.62,170.52,2963.25,12827.1,3747.12,5480.28,810.75,2441.4,82
142868,85193,109903,19984.4,16029,81707.9,262.16,77.14,2613,27381.1,5031.78,6102.72,447.75,1813.5,82.5
60035.8,35383,111198,22190.2,17367,83736.9,677.44,85.84,2079.75,9510.54,2603.64,5270.46,655.5,4195.62,82.9
72794.7,48027,99333.1,14735,12155,79446.5,261.58,90.48,1111.5,7771.14,1612.26,3552.12,268.5,3513.9,83.1
111912,56559,129675,42321.2,27455,101022,1838.02,423.4,5616.75,53078.2,9370.14,14137.5,833.25,17596.8,83.3
108489,66276,107278,25943.6,19136,88850.2,1058.5,193.14,1563.75,8434.14,2447.64,11111.9,442.5,12137.6,83.8
