"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
72207.8,63195.6,385.7,301.6,1477.5,4146.48,1815.84,11682.1,387.75,1258.92,332.9
140485,106749,976.72,1394.32,3420,19638.1,5263.44,47307.8,572.25,2304.12,332.9
151161,176053,1171.6,1532.94,2175.75,8282.82,4293.12,35160.8,652.5,2712.06,339.7
72769.5,83903,1636.76,3094.3,2180.25,7909.98,2566.2,32334.9,358.5,7705.62,340
131261,96582.7,974.4,2163.4,3076.5,29257,6458.4,40121.6,397.5,2099.76,346.6
169041,107688,946.56,1059.08,3273.75,22049,6154.2,51837.2,678.75,2591.94,355.7
107968,73796.6,1830.48,2142.52,3090.75,28241.5,7664.28,69933.2,440.25,13308.4,360.9
220068,119366,2572.88,2868.68,4491,39709.8,8998.08,80761.2,683.25,14543.1,362.7
188444,163344,5920.64,10858.8,4992,14937,6513,55620.2,1554,5603.52,367
140684,98861.1,2092.64,6036.64,2458.5,18877.6,19065.5,262143,446.25,6809.4,370.7
157943,108942,2594.34,2713.82,2429.25,9335.82,5282.16,93500.9,635.25,21863.4,373.6
131860,229849,691.36,647.28,2532.75,3380.52,3194.1,23220.6,1056.75,2714.4,375.3
130842,193529,1300.94,1705.2,3194.25,13442.5,5153.46,37416.6,733.5,3205.8,379.1
95246.2,102577,548.68,571.3,2366.25,23452.3,4639.44,20369.7,379.5,1151.28,382.1
178170,234963,1349.66,2053.2,5250.75,20384.5,6654.18,26701,1227.75,4659.72,383.8
126626,76327.7,949.46,1073.58,1387.5,5116.8,2233.14,28122.1,337.5,3613.74,388.2
217701,141351,5246.1,8255.14,4804.5,35293.4,8662.68,74506.4,926.25,13895.7,389.2
106589,81742.4,2490.52,5547.7,2671.5,16633.5,5714.28,80819.7,681,5057.52,392.6
178275,240427,4802.4,5338.9,8800.5,60708.2,13731.9,100820,1394.25,32538.5,398.1
60227.6,78443,3050.22,6018.66,2100,2293.2,2662.92,29308.5,576,5427.24,398.3
124593,208085,650.76,832.3,2346.75,6594.9,4039.62,41775.2,867,2693.34,398.4
189853,155140,962.8,1609.5,4398.75,28917.7,7391.28,37749.7,968.25,3844.62,403.6
225011,111872,1163.48,1562.52,2489.25,15021.2,5185.44,63872.6,519,2420.34,403.7
177984,164444,3169.7,5098.2,5674.5,28606.5,8926.32,65261,1386.75,15414.4,405.6
88045.7,65679.9,1021.38,1562.52,1136.25,7156.5,2480.4,41983.5,223.5,4998.24,410.9
76539.4,70572.8,422.24,789.96,2124,20742.5,4258.8,26330.5,297,4486.56,414
91538.2,66788.3,1084.6,1325.3,1296,7766.46,2269.02,18482.9,243.75,5077.8,424.5
214777,114118,2339.72,3738.1,4047.75,34470.5,8757.06,74705.3,739.5,3138.72,425.1
60492.1,61093.5,3133.74,7935.56,1680.75,1823.64,1971.84,19761.3,538.5,2809.56,431.6
123799,52316.2,526.64,645.54,859.5,2665.26,1735.5,24524,226.5,4062.24,432.9
120607,74673.3,389.76,983.1,1281.75,8769.54,2996.76,35523.5,265.5,992.94,438.3
110461,87421.6,1051.54,2103.08,2547.75,24419.5,8622.9,114999,441.75,7267.26,439.6
164651,47175.2,2481.24,1344.44,2462.25,17135.8,4318.08,47976.2,5989.5,25856.2,439.7
262143,120864,581.16,1008.62,3924.75,29777.3,7094.1,42609.1,719.25,3055.26,439.9
114292,94610.1,1021.96,1518.44,3026.25,29260.1,5774.34,27132.3,498,1897.74,443.6
197673,124692,664.1,2030.58,3222.75,32037.7,7083.96,52510.4,494.25,2063.88,444.6
195259,162176,1146.08,1967.36,4311,46332.8,8942.7,55112.5,567.75,3071.64,444.8
184091,133201,2559.54,5588.88,3099,10683.7,6498.18,84021.6,866.25,4066.92,448.5
86558.6,50678.2,393.82,591.02,1242,10573.7,2630.94,28013.7,245.25,2152.8,450.1
89836.2,85595.6,570.72,874.64,1845,14831.7,3658.2,31696.1,351,4482.66,450.6
80811.9,83767.3,4424.82,9967.3,1762.5,1946.1,2828.28,54699.8,564,3529.5,450.8
189096,150466,626.98,1833.38,5034,50645.4,10668.1,72760.7,606.75,3093.48,451.4
114898,101298,1212.78,1511.48,2704.5,19189.6,4632.42,26197.9,535.5,8693.88,451.6
60870.9,104426,169.94,421.66,1449,5047.38,2113.8,19461.8,384.75,1303.38,458
116598,59630.2,561.44,1023.7,1559.25,10842,3198.78,39019.5,296.25,1263.6,460
68812.6,53663.2,3605.28,8207.58,1280.25,1541.28,1820.52,26189.3,411.75,2628.6,465.9
179535,161370,5212.46,9793.3,5775,30034.7,8860.8,63551.3,1318.5,8881.08,470.4
42660.5,90859.1,698.32,728.48,3732.75,38674.7,6905.34,20634.1,441.75,2753.4,472.3
192055,120913,1045.16,472.7,3594,16654.6,5175.3,15451.8,877.5,5016.18,473.3
90047.6,79191.8,464.58,652.5,1647.75,12691.4,3008.46,25286.8,264,5793.06,475.9
130491,110072,976.14,1549.76,2166,16445.5,4421.04,44169.8,456,1958.58,480.1
145618,139470,3709.68,2215.6,4553.25,37180.3,7866.3,58773.8,606,33943.3,481.1
82044.7,46640.9,3178.98,6739.02,1334.25,1673.88,1691.04,19106.9,438.75,2198.82,481.2
78442.1,100441,1940.1,2113.52,2034,10196.9,4398.42,78071.8,365.25,15290.3,516.5
108525,98974.2,778.36,1581.66,4279.5,46339,8533.98,35328.5,554.25,4534.14,517.4
70653.4,63374.2,1794.52,2942.92,1503.75,8728.98,3541.98,63888.2,309.75,10514.4,518
75348.8,54098.5,1724.92,4746.72,1083,7111.26,13671.8,262143,272.25,10073.7,526.4
236091,142355,4162.66,8956.94,2991.75,16139,21971,262143,695.25,26783.6,530.2
163935,78794.8,1103.74,804.46,3372,39794.8,7583.94,36312.1,427.5,7191.6,535.3
98534.7,84116,1280.64,1295.14,2154,20680.9,5595.72,63492,337.5,11998.7,536.1
58822.7,85240.7,585.22,1028.34,2463.75,23559.9,5308.68,33446.4,376.5,1662.18,539.6
168967,125366,864.78,1669.82,2847,17547.7,5481.06,63475.6,580.5,3033.42,542.2
262143,160912,1093.88,3267.14,3964.5,29344.4,10864.6,151725,664.5,4236.96,546.3
239351,216320,5152.72,4318.1,5180.25,37114,9501.18,92787.2,980.25,50473,546.4
64026.1,82063.8,635.68,1141.44,1729.5,10161.8,3207.36,40298.7,324,2435.94,546.8
130748,133293,500.54,1426.22,2210.25,7703.28,4405.44,73001,427.5,2370.42,548.7
151828,123761,2072.34,3370.38,2016.75,12034.6,3586.44,40456.3,402.75,9498.06,553.6
123830,208857,7185.62,13384.7,5205.75,5130.84,5206.5,16261.4,1620.75,9306.18,555.2
109462,129874,806.2,671.64,2134.5,6070.74,3256.5,32434.7,600.75,3707.34,555.7
114141,72009.6,1339.8,940.18,2072.25,23903.9,4733.04,28927.1,242.25,10089.3,556.8
119517,75873.7,3986.34,7689.64,3046.5,26260.3,20645,262143,589.5,20346.3,557.5
99042.7,43522.4,409.48,708.18,1132.5,9165.78,2302.56,20420.4,221.25,1080.3,559.6
262143,154477,3892.96,5276.84,4006.5,9592.44,6719.7,96731.7,1079.25,17943.9,560.2
77609.1,101654,1302.1,1506.26,2064,11604.8,3825.9,50431.7,399,9948.9,560.6
239554,138952,5345.28,8624.6,4794,32271.7,8664.24,49445,1150.5,15137.5,565.9
125511,126592,3381.98,3439.98,3287.25,23682.4,6100.38,59488.3,548.25,21553,573.8
79069,75907.3,535.92,923.36,1559.25,6858.54,2137.98,22517.8,365.25,1318.2,575.7
168473,152193,5272.2,11634.8,4507.5,25932.7,8148.66,79412.6,1122.75,5811,578.7
103757,132534,1531.78,1839.18,3466.5,33375.4,7251.66,60379.8,536.25,14114.1,580.3
159270,53240.5,825.34,1462.76,1375.5,7711.86,2315.04,18115.5,324.75,1037.4,581.9
