"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
97990.7,56322,114022,20954.7,15842,86686.5,467.48,260.42,1971.75,16327.7,3467.88,15381.6,370.5,3460.08,137.4
123690,65987,122845,24913.2,17639,92562.6,249.4,766.76,10124.3,173187,27855.4,67801.5,596.25,3697.98,139.1
92459.6,56061,108086,17990.7,13881,84939,359.02,172.26,3204,45260.3,7164.3,13691.3,348.75,2180.88,140.9
77605,50630,100453,13950.3,10870,84107.3,310.3,232.58,2052,25950.6,4643.34,18480.5,299.25,3184.74,141.1
83213.6,41743,130644,36876.8,23387,103338,1700.56,491.26,6053.25,74490.8,12589.2,33481.5,780.75,15939.3,141.4
84892.6,55156,100869,20872.8,16532,82743.8,21.46,160.66,2113.5,30444.2,5083.26,8503.56,226.5,682.5,141.7
95801.8,54614,114961,30277.3,20486,96858.9,427.46,193.72,1583.25,8942.7,2265.12,12187.5,426.75,3020.94,142.5
111277,67420,108168,37776.2,24904,99409.7,1467.98,316.68,4366.5,46938.8,8082.36,16870.6,720.75,16363.6,142.6
80601.8,45669,115665,28675.9,21653,86791.9,709.92,98.6,2235,8732.88,2754.18,6595.68,612,5940.48,143.9
40880.9,21013,127501,20318.2,15093,88224.7,452.4,480.24,3939,57709.9,9787.44,30360.7,374.25,7565.22,145.3
106143,61759,112634,24591.1,18635,86482.4,429.2,178.06,2957.25,27481,5805.54,13019.8,508.5,2002.26,146
113093,53186,139353,34905.8,20930,109297,814.9,469.22,4107.75,45661.2,8725.86,32403.5,677.25,6735.3,146
88697.8,61279,94859.6,11983.1,9935,79046.5,418.76,49.88,1796.25,24002.2,4012.32,4482.66,228,2711.28,148.7
90576.7,53965,109998,16874.5,12989,85140.4,715.72,269.12,4298.25,66725.9,10400.5,23445.2,358.5,6733.74,149.3
66384.3,33794,128738,42086.5,24998,110336,1650.68,423.4,5874.75,74815.3,12570.5,15867.5,864.75,12039.3,149.7
149808,84719,115887,34350.4,24235,92890,727.32,178.64,2928.75,8364.72,3550.56,7808.58,851.25,3708.9,150
145015,83302,114088,25825.8,18738,90325.5,81.2,184.44,4447.5,62307.2,9683.7,10618.1,460.5,1799.46,150.5
91523.2,49968,120038,24996.7,17844,91805.7,1109.54,282.46,4779,68365.4,10819.4,16631.2,465,8290.62,151.6
104186,54450,125398,40356.4,25782,102583,278.98,312.62,3799.5,35592.2,7205.64,30701.6,626.25,2348.58,152.7
98542.2,60082,107487,22233.1,16486,88382.3,302.76,197.78,2031,22002.2,4322.76,16270.8,346.5,3309.54,152.9
68482.8,41434,108319,12913.7,10010,84546.5,675.7,314.94,1688.25,19766,3685.5,15314.5,254.25,9864.66,153
122371,70842,113205,30189.1,21630,91469,500.54,219.24,2817,32262.4,5880.42,16646.8,423,5846.88,154.6
69895.2,51321,89254.9,9230.52,7770,77854.7,291.74,95.12,1542.75,24286.1,3791.58,3807.96,174,4350.84,155.9
87040.7,42580,133967,28443.5,18388,101374,266.8,121.22,2915.25,30729.7,5622.24,13685.1,563.25,2531.88,157.6
132512,71949,120701,56209.9,32793,112334,954.1,304.5,4271.25,41869.6,7771.14,24608.2,704.25,7399.08,157.8
80673.2,46817,112929,17615.5,13169,87664.3,340.46,130.5,2584.5,31997.2,5264.22,7440.42,367.5,2821.26,157.9
133974,69264,126763,60769,33440,119096,392.66,355.54,5153.25,53298.2,10018.3,23595,922.5,2752.62,158.2
65560.8,38978,110231,20545.2,15254,88268.7,237.22,98.02,1608.75,14227.2,2927.34,7232.16,356.25,736.32,159.2
60477.8,34650,114386,22135.6,15706,92364.7,575.94,264.48,1647,15412,3226.08,13674.2,324,4622.28,162.7
132100,71411,121232,23888.3,17203,91004,744.72,313.2,4170,54242.8,8964.54,17099.2,493.5,8155.68,164.8
100454,46313,142150,44641,23053,126907,2890.72,739.5,5907.75,63662,12311.5,58564,1017.75,26569.1,166.6
133177,79059,110397,18365.1,13555,88792,1244.1,324.8,4324.5,66748.5,9913.8,11416.9,442.5,13205.4,166.6
87364.4,55418,103315,8470.02,6186,89733.5,276.08,73.66,3020.25,49454.3,7176,3115.32,295.5,2441.4,166.9
109903,61187,117715,24795.4,17923,90665.2,1083.44,404.26,2606.25,29119,5281.38,16781.7,453,11892.7,167.4
130714,73870,115967,20437.6,15214,88037.1,512.72,190.82,8080.5,133318,19428.2,16170.2,492.75,9335.04,167.5
92679.2,57394,105827,18908.8,14630,84703,795.18,287.68,2505.75,28959.1,4994.34,11390.3,339.75,10243,167.6
89148.7,43874,133164,25296.2,16946,97829,411.8,294.64,4569.75,61245.6,10126.7,20383,579.75,2471.82,168
