"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
262143,262143,1187.84,1556.14,8816.25,99418.8,19603.7,102178,1440,5325.84,231
130661,133890,7461.12,16496.4,2305.5,2043.6,2028,15908.9,728.25,3779.88,231.1
158624,92074.3,8951.14,20278,1637.25,1461.72,1669.2,18947.8,543,2608.32,232.3
142780,57221.6,4556.48,11680,1401.75,1516.32,1563.9,14820.8,525.75,2040.48,234
127297,101179,3891.8,8679.12,2166,2501.46,2498.34,25317.2,799.5,3120,234.2
90440.7,39798.7,1724.34,3591.36,935.25,985.14,717.6,4314.18,293.25,1044.42,234.3
246367,189676,7124.72,16661.1,2539.5,2419.56,2605.98,27593.3,839.25,4799.34,234.5
195948,262143,4974.08,10542.1,4575.75,4297.02,4347.72,19323.7,1586.25,9196.2,234.5
262143,262143,4024.62,1340.38,10583.3,74022,17493.1,61980.4,2865.75,7690.8,235.9
139010,159477,5482.16,13497.2,2412,2290.08,2788.5,30839.6,855,4822.74,236.8
178413,188690,13652,33259.5,4879.5,4988.1,4866.42,39850.2,1644.75,7796.88,237.2
203976,181629,5449.68,11288,2791.5,3201.9,2744.82,23531.8,950.25,4046.64,240.1
118938,77018.8,2854.76,6626.5,847.5,939.12,814.32,9070.62,318,1131.78,241.6
262143,195278,8439,20066.8,4695,4559.88,3873.48,16259.1,1503.75,5376.54,241.6
117443,158727,4534.44,11226.5,2286,2330.64,2185.56,10253.9,831.75,2943.72,241.6
183929,177560,8385.06,16236.5,5247.75,4990.44,4598.88,18159.2,1761.75,7445.1,242.2
262143,190296,2375.68,3702.14,5202,5813.34,5055.96,10214.1,2464.5,7679.88,243.1
227164,193842,6561.54,14845.1,3602.25,3838.38,3617.64,15532.1,1352.25,4446.78,243.7
153933,68272.6,5237.4,13479.2,1064.25,862.68,1031.94,9342.84,366.75,1564.68,247.9
262143,200580,6737.28,15045.8,6192.75,6884.28,6108.96,20415.7,1982.25,10187.6,248.8
