"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
127883,67846,2868.68,6758.74,1144.5,1107.6,1141.92,20280,385.5,3541.98,153.9
132839,60907.9,3038.62,7338.74,963,808.08,872.04,9521.46,294,2408.64,154.9
71170.2,106999,4789.06,11105.3,2771.25,3151.2,3341.52,27002.8,1058.25,5271.24,156.2
128199,116584,4550.1,9350.76,1852.5,1905.54,2229.24,21653.6,491.25,5618.34,156.4
262143,262143,6943.18,10120.4,5023.5,15794.2,8117.46,110201,1430.25,41486.6,157.2
262143,81588.8,3062.4,828.24,938.25,2005.38,1595.1,33131.3,279,36323.8,157.7
133271,74700.6,3161,7936.72,1658.25,1603.68,1704.3,27839,567,4113.72,158.2
128712,58926.7,3390.1,9477.2,1166.25,1196.52,1374.36,23791.6,384,3114.54,158.7
262143,134834,3484.06,1920.96,1995,4695.6,3757.26,52630.5,608.25,37422.8,160.8
116787,78464.1,4236.32,11198.6,1527,1252.68,1300.26,18822.2,435,2096.64,161.1
232085,91887.1,6124.22,13801.7,1125.75,1146.6,1228.5,14288,382.5,2196.48,161.2
91245.1,74829.3,3097.78,8510.34,1403.25,1426.62,1531.92,15820,463.5,3010.02,162.6
143186,73615.6,4372.04,9606.54,1665,1534.26,2106.78,17726.3,555.75,2147.34,163.1
83205.5,58511.7,3763.04,7426.9,1494,1550.64,1551.42,15817.6,515.25,2541.24,163.6
87616,54259.9,2641.32,6331.86,1540.5,1751.1,1891.5,17125.7,572.25,2667.6,164.5
203988,79230.8,3401.7,1019.06,684,1243.32,1595.88,37620.2,202.5,36564.8,165.1
262143,262143,6339.98,2386.7,7077,16880,8030.88,68608.8,1834.5,65424.1,165.6
97442,110475,1331.68,303.92,2731.5,5087.94,2666.82,11195.3,543,7913.1,167
153549,84285.2,3903.98,8445.96,1128.75,1082.64,1227.72,15724,329.25,2862.6,167.6
262143,59763.6,2583.32,903.64,780.75,1340.04,1246.44,27112,243,34854.3,168.9
84056.2,49951.2,3064.14,7163.58,1584.75,1913.34,1856.4,12648.5,658.5,1925.82,170
256214,87121.3,1476.1,485.46,1215.75,4389.84,1938.3,23360.2,349.5,15539.2,170.3
240052,135381,6370.72,13804,2345.25,2279.16,2750.28,30448.9,774,5621.46,170.4
243306,54473.6,1976.64,547.52,540.75,904.8,985.14,17861.2,153,24244.7,171
102165,90809.9,3861.64,9144.28,999,825.24,783.9,16145.2,232.5,3178.5,171.2
145903,45148.7,279.56,218.08,701.25,2865.72,1009.32,11409.1,187.5,4754.88,171.4
149642,183621,8089.84,16969.1,5300.25,5878.08,5470.92,29448.9,2082,7139.34,171.5
262143,252750,9542.16,24474.8,4937.25,5016.96,4952.22,40368.9,1673.25,7631.52,172.2
78635.9,44892.1,3126.2,7226.22,822,811.98,871.26,12650,266.25,2458.56,174
203986,146008,10120.4,22485.4,3594.75,3744.78,3669.12,18573.4,1197,6169.8,176.8
106156,77666.9,3605.28,7339.9,1755,1976.52,1895.4,13637.5,705.75,1685.58,177.2
262143,120278,7827.1,18785.6,2367.75,2201.94,2826.72,42655.9,779.25,5844.54,177.3
262143,96318.3,1933.14,668.16,1362,2969.46,2308.8,32291.2,411,21505.4,179.2
158638,102405,6188.6,17314.2,1924.5,2004.6,2059.98,27525.4,657.75,2823.6,180.1
208997,88227.4,3373.86,7867.12,1110.75,1314.3,989.04,13850.5,369,2154.36,180.5
115077,55234.1,2191.82,5126.04,1347.75,1740.96,1723.8,29573.7,480.75,3328.26,180.6
67476.4,70229.6,4695.68,10481.8,1422.75,1207.44,1290.9,24164.4,400.5,2657.46,181.9
92206.6,66555.1,4330.86,11912,1382.25,1552.2,2017.86,33632,490.5,2679.3,183.5
99738.3,44180.8,2485.3,4617.38,1172.25,1218.36,1357.2,14542.3,480,2115.36,185.2
154780,57482.1,3955.02,9892.48,727.5,723.84,1095.12,18206.8,234.75,2862.6,185.2
262143,223343,7038.88,16265.5,3117,3399.24,3129.36,21311.9,1045.5,6064.5,185.3
90674.6,39493.7,2697,5878.88,1241.25,1267.5,1000.74,8534.76,387.75,1575.6,187.8
97090.4,123236,5033.24,11726.4,2823,3208.92,3425.76,22585.7,874.5,8381.1,187.9
224492,185180,9889.58,1851.94,1936.5,2602.86,2208.18,51629.8,568.5,114219,188.7
124775,107831,6350.42,14452.4,2758.5,2754.18,2531.88,14055.6,1039.5,4211.22,188.7
94263.6,59547.5,2861.72,6221.08,762.75,705.9,791.7,12978.4,267,1996.8,189.7
186905,226750,1244.68,495.32,4483.5,8831.94,5679.96,18406.4,888.75,3728.4,189.9
99688,74334,209.96,291.74,1536.75,3265.86,1109.16,4793.88,278.25,621.66,190.6
88666.6,63511.5,3920.8,10086.8,1089,1067.82,1422.72,22221.4,390,2614.56,191
113743,43607.5,2328.7,5174.18,805.5,1043.64,936.78,8435.7,282.75,1409.46,193.9
104196,113967,3626.16,10174.4,1339.5,1387.62,1552.2,20949.2,460.5,3394.56,194.1
74800.7,64088.7,3133.74,7858.42,1005,833.04,1116.18,14845,328.5,2883.66,195.7
