"FSC-A","SSC-A","APC-A :: CD90-2","APC-Cy7-A :: TER119-CD45","AmCyan-A :: Live_dead","FITC-A :: GFP","PE-A","PE-Cy7-A :: CD29","Pacific Blue-A :: CD31","PerCP-Cy5-5-A :: CD105","Time"
262143,137726,1321.82,617.7,1905.75,4204.2,2393.82,24886.7,520.5,11452.7,93.1
262143,262143,3622.68,1179.72,5418.75,20085,6339.06,33732.7,1257.75,36827.7,93.6
201604,74146.8,589.86,155.44,863.25,4374.24,1266.72,10230.5,217.5,5611.32,93.9
185990,89944.1,698.9,212.28,1197.75,9423.18,2091.96,15334,214.5,6800.04,93.9
262143,150692,1261.5,1310.8,2014.5,5999.76,4720.56,91277.9,573.75,10044.8,93.9
262143,81054.5,1220.32,722.68,1063.5,4512.3,1984.32,27724.3,246.75,14093,96.9
262143,192419,4932.9,1086.34,2911.5,20705.9,5240.04,43456.9,657,53706.1,97
262143,138342,581.74,273.76,2700.75,30262.4,5575.44,21859.5,387,6094.92,97.3
254325,105849,896.68,374.68,1011.75,3256.5,1239.42,10108.8,265.5,12111.1,97.6
105886,171357,4548.36,11046.1,3254.25,3121.56,2395.38,13678.9,917.25,4169.88,97.8
243351,84555.1,5905.56,13872.4,1950,2092.74,3041.22,80191,617.25,4860.96,97.9
206036,74564.1,866.52,153.12,703.5,1853.28,652.08,4403.88,196.5,7224.36,98
262143,146587,592.18,430.94,2541.75,19135.7,4973.28,40379,402,3273.66,99.2
237146,154300,6621.28,14189.7,2913,2893.8,2438.28,18163.1,894,5285.28,99.3
262143,194662,2488.2,825.34,2620.5,9788.22,3448.38,28166.6,671.25,25346.9,99.8
164612,52431.6,1788.14,4786.16,648,677.04,1577.94,54643.7,216.75,1893.06,100
129905,78812,3963.14,8813.68,1074.75,972.66,1509.3,42729.2,280.5,2464.02,100.7
226860,61731.5,74.82,102.66,1060.5,12845,2292.42,11696.9,135.75,561.6,101.3
255474,73167.1,616.54,111.94,839.25,1023.36,927.42,5516.16,227.25,6237.66,102.2
177725,82343.8,5840.02,14300.5,1324.5,1155.18,2481.18,79904,393,2501.46,102.5
262143,262143,9143.12,2230.68,6669,39411.8,10115.8,73688.2,1392.75,118035,103
262143,95249.7,360.76,494.16,1706.25,19037.5,3751.8,24214.3,238.5,2876.64,103.1
262143,122859,687.88,568.4,1299.75,4308.72,2421.12,40157.5,375,4463.94,103.6
262143,262143,10205.1,2929.58,4604.25,8914.62,5377.32,64273.6,1403.25,117447,103.9
242070,90206.2,2569.98,509.82,1683,6225.18,2079.48,17052.4,424.5,34644.5,104
162398,170667,2269.54,766.18,2123.25,9980.88,3609.84,33632,528.75,23003,104.4
253979,70681.3,1314.28,287.1,1215,4638.66,1747.2,18090.5,483.75,9580.74,104.4
151045,78642.7,3082.7,7243.04,1551.75,1367.34,1524.12,24605.1,501,2520.18,104.4
204299,79896.2,1307.9,548.68,1036.5,2909.4,1614.6,21804.1,272.25,12532.3,104.5
262143,258693,3660.96,1288.18,3428.25,9781.98,4775.16,48466.9,927,33582.9,104.7
262143,216707,5632.38,1014.42,2856,14105.5,4041.96,27966.1,697.5,65107.4,105.8
161843,69062.8,3129.1,8033,1036.5,976.56,2172.3,59621.6,308.25,2091.18,106.7
262143,129407,412.96,512.14,1662,14134.4,3352.44,26240.8,330.75,5246.28,106.9
232975,118080,714.56,269.7,1613.25,8157.24,2358.72,15588.3,346.5,6605.82,107.1
262143,149007,1403.6,486.04,2008.5,16390.1,3648.06,27332,313.5,13799,107.1
203938,121565,4273.44,9804.9,2078.25,2013.96,2581.8,52211.6,656.25,4201.08,107.1
262143,116470,10023,639.74,1258.5,4101.24,1478.88,10407.5,339.75,12095.5,107.2
111365,42423.4,2696.42,559.12,786.75,538.98,457.86,13070.5,2346,32632.1,107.8
169910,63831.3,2180.8,5431.7,796.5,679.38,922.74,17138.2,211.5,1492.14,107.8
218536,121839,6207.16,12184.6,2058.75,1926.6,2582.58,48632.2,645.75,4082.52,107.8
262143,104121,1084.02,603.78,2718,7819.5,3659.76,29852.9,732,6962.28,108
157923,75251.3,757.48,301.6,610.5,2988.96,1150.5,16046.9,159.75,9614.28,108.2
219679,96257.5,5583.66,14080.1,1485.75,1357.98,1339.26,23234.6,425.25,2427.36,108.3
262143,102588,1107.22,461.68,2243.25,16831.6,4049.76,29068.3,396,13648.4,108.6
262143,88750.7,1214.52,510.98,1888.5,12021.4,3490.5,27250.1,371.25,7769.58,108.9
262143,262143,6589.96,2163.4,5601.75,30855.2,9327.24,78559.3,1301.25,56958.7,108.9
262143,238733,7896.7,10574.6,4239.75,7911.54,4784.52,57919.7,1058.25,45321.1,109
262143,262143,3733.46,904.8,4353.75,11596.3,4741.62,25133.9,1173.75,37905.7,109.3
262143,110461,5273.94,13739.6,1964.25,1800.24,1821.3,22361.8,513,5480.28,110.1
262143,262143,5261.18,1317.76,5049.75,23095,6888.96,41902.4,1220.25,60980.4,110.5
211363,126973,10673.7,19364.5,2163,2204.28,2280.72,34250.6,621.75,3467.1,110.5
262143,177353,11417.3,23242.3,5017.5,5219.76,4986.54,40772.2,1428,10231.3,110.8
257770,94780.9,424.56,306.82,1198.5,11460.5,2552.94,13633.6,165.75,4880.46,110.8
262143,170222,2227.78,789.96,1996.5,6638.58,2325.18,14061.8,555.75,22248.7,110.9
262143,114451,928.58,470.96,2343,13953.4,4222.92,41237.8,471,7872.54,110.9
262143,109295,5967.62,14134,2207.25,2381.34,2116.14,9189.96,680.25,3620.76,111
262143,77381.5,659.46,316.68,1377,7077.72,1903.2,12333.4,356.25,7742.28,111.3
197293,71521.3,314.36,201.26,894.75,6041.88,1861.08,16418.2,196.5,2499.12,111.3
113329,46761,1588.04,4338.98,553.5,490.62,1017.12,30144.7,165.75,1377.48,111.6
262143,247095,17518.3,41294.8,5130,5198.7,6215.82,120200,1532.25,9126,111.6
262143,72414.4,789.38,334.66,1446.75,9619.74,2656.68,23476.4,364.5,6754.02,111.9
262143,145107,2242.86,864.78,3164.25,16756,4922.58,37899.4,761.25,18223.1,112
262143,262143,9386.14,2028.84,4243.5,21085,6300.06,66399.1,971.25,95960.3,112.1
234651,85165.9,7642.66,16600.8,1665,1622.4,1650.48,21790.1,467.25,3783,112.3
262143,143334,1071.26,697.74,1903.5,6677.58,3301.74,47350.7,476.25,10181.3,112.3
216620,184979,1487.7,606.1,3167.25,3601.26,3367.26,32815.4,882.75,14960.4,112.4
262143,236446,4116.26,2907.54,3314.25,8107.32,4187.82,45865.6,889.5,36663.1,112.8
262143,219558,2227.78,1129.26,3300,10386.5,5286.84,59923.5,870,21715.2,113
262143,140069,9003.34,22502.3,1900.5,1702.74,3033.42,79972.6,537,2934.36,113
262143,262143,8625.18,2771.82,7126.5,12099.4,8660.34,109653,1864.5,87320.2,113.4
262143,221317,4669,807.94,5751,54457.3,9655.62,20226.2,908.25,46428.7,113.6
262143,182750,1983.6,1019.06,1993.5,8504.34,3435.9,52128.2,467.25,18566.3,113.6
188148,107274,4423.08,10259,1404.75,1389.18,1231.62,12588.4,393.75,2357.16,113.8
262143,178554,5043.1,1234.82,2184,2758.08,2491.32,37485.2,615,60393.1,115.2
95423,35862.8,477.34,140.36,410.25,952.38,614.64,9480.9,127.5,4662.06,115.6
118417,75362.8,2734.12,5816.82,1834.5,1668.42,1762.8,23969.4,525.75,3102.06,116.5
172434,52312.3,4743.82,883.34,1228.5,10268.7,1855.62,19723.1,2043,49806.1,116.8
165109,77518.7,3673.14,8327.64,1743.75,1112.28,2414.1,63236.9,378,3127.02,117.1
226052,57886.9,415.28,188.5,1007.25,8080.02,1828.32,8686.08,225.75,4896.84,117.4
262143,77755.1,260.42,251.72,1041,2552.94,1509.3,13856.7,256.5,1301.82,118
262143,91182.8,568.98,337.56,1261.5,6399.12,2045.16,17772.3,315,3393,118.5
262143,164394,4197.46,582.9,2875.5,17360.5,4175.34,16117.1,640.5,37014.1,118.6
260607,92984.6,642.06,444.86,1285.5,9918.48,2381.34,19933.7,261,4561.44,119.6
206451,148513,1401.86,538.82,1568.25,4713.54,2113.02,29894.3,429,13457.3,119.6
262143,87448.1,916.4,470.96,1140,2881.32,1847.82,24162.1,288,10232.8,119.7
262143,190414,3489.86,720.94,4315.5,21145.8,6846.06,27209.5,1162.5,31985.5,119.7
262143,83329,73.66,179.22,2066.25,21457,3957.72,13208.5,285.75,1524.12,120.4
262143,88519.1,719.78,296.38,1392.75,11257.7,2621.58,14095.4,270.75,9576.84,120.5
262143,262143,10040.4,2222.56,4082.25,8220.42,5055.18,68812.4,1165.5,102983,121.1
251154,88515.2,220.4,202.42,927.75,6265.74,1691.04,12542.4,203.25,2403.18,121.7
159185,67851.4,3176.08,8194.24,944.25,955.5,2714.4,97467.2,253.5,2613,122.9
200292,61041.2,732.54,194.88,1505.25,14666.3,2900.04,8770.32,241.5,2928.12,124
219638,82055.2,6186.28,15090.4,1464.75,1548.3,1348.62,11377.1,450.75,2364.18,124.4
223782,50172.7,201.26,267.96,1413.75,12435.5,2489.76,12859.9,244.5,975,125
160704,83169.1,5772.16,14605,1772.25,1660.62,1786.98,17719.3,525.75,1882.14,125.1
